Location,Reactor Name,Model,Reactor Type,Net Capacity (MWe),Construction Start,First Grid Connection,Status,Country,
,Sendai 1,M (3-loop),PWR,846,,1983-09,Working,Japan,
,Sendai 2,M (3-loop),PWR,846,,1985-04,Working,Japan,
,Shika 1,BWR-5,BWR,505,,1993-01,Working,Japan,
,Shika 2,ABWR,BWR,1108,,2005-07,Working,Japan,
,Shimane 2,BWR-5,BWR,789,,1988-07,Working,Japan,
,Takahama 1,M (3-loop),PWR,780,,1974-03,Working,Japan,
,Takahama 2,M (3-loop),PWR,780,,1975-01,Working,Japan,
,Takahama 3,M (3-loop),PWR,830,,1984-05,Working,Japan,
,Takahama 4,M (3-loop),PWR,830,,1984-11,Working,Japan,
,Tokai 2,BWR-5,BWR,1060,,1978-03,Working,Japan,
,Tomari 1,M (2-loop),PWR,550,,1988-12,Working,Japan,
