,marvel_comic_character_name,comic_appearance 1,comic_appearance 2,comic_appearance 3,comic_appearance 4,comic_appearance 5,comic_appearance 6,comic_appearance 7,comic_appearance 8,comic_appearance 9,comic_appearance 10,comic_appearance 11,comic_appearance 12,comic_appearance 13,comic_appearance 14,comic_appearance 15,comic_appearance 16,comic_appearance 17,comic_appearance 18,comic_appearance 19,comic_appearance 20,comic_appearance 21,comic_appearance 22,comic_appearance 23,comic_appearance 24,comic_appearance 25,comic_appearance 26,comic_appearance 27,comic_appearance 28,comic_appearance 29,comic_appearance 30,comic_appearance 31,comic_appearance 32,comic_appearance 33,comic_appearance 34,comic_appearance 35
867,Moon Girl (Lunella Layfayette),Avengers & Moon Girl (2022) #1,Champions (2020) #1,Champions (2016) #16,Deadpool Classic Vol. 22: Murder Most Fowl (Trade Paperback),Deadpool Kills the Marvel Universe Again (2017) #4,Devil Dinosaur Infinity Comic (2023) #1,Devil Dinosaur Infinity Comic (2023) #2,Devil Dinosaur Infinity Comic (2023) #3,Devil Dinosaur Infinity Comic (2023) #4,Extraordinary X-Men Annual (2016) #1,Free Comic Book Day 2022: Marvel's Voices (2022) #1,Moon Girl and Devil Dinosaur Infinity Comic Primer (2021) #1,Marvel's Voices: Legacy (2022) #1,Marvel's Voices Infinity Comic (2022) #38,Marvel's Voices Infinity Comic (2022) #39,Marvel's Voices Infinity Comic (2022) #40,Marvel's Voices Infinity Comic (2022) #41,Marvel's Voices Infinity Comic (2022) #42,Marvel's Voices Infinity Comic (2022) #43,Miles Morales & Moon Girl (2022) #1,,,,,,,,,,,,,,,
868,Moon Knight,Amazing Spider-Man Annual (1964) #15,Avengers (1998) #1,Avengers (2010) #11,Avengers (2010) #11 (CAPTAIN AMERICA 70TH ANNIVERSARY VARIANT),Avengers (2010) #12,Avengers (2018) #33,Avengers (2018) #34,Avengers (2018) #35,Avengers (2018) #36,Avengers (2018) #37,Avengers (1963) #211,Avengers Annual (2012) #1,Avengers Annual (1967) #16,Avengers Unlimited Infinity Comic (2022) #33,Avengers Unlimited Infinity Comic (2022) #35,Avengers Unlimited Infinity Comic (2022) #36,West Coast Avengers (1985) #21,Age of Ultron (2013) #2,Captain America and Bucky (2011) #640,Contagion (2019) #4,,,,,,,,,,,,,,,
869,Moon Knight (House of M),The Amazing Spider-Man (1963) #358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,Moon Knight (Ultimate),Ultimate Spider-Man (2000) #80,Ultimate Spider-Man (2000) #107,Ultimate Spider-Man (2000) #108,Ultimate Spider-Man (2000) #109,Ultimate Spider-Man (2000) #110,Ultimate Spider-Man Ultimate Collection Book 7 (Trade Paperback),ULTIMATE SPIDER-MAN VOL. 18: ULTIMATE KNIGHTS TPB (Trade Paperback),Ultimate Spider-Man Vol. 9 (Hardcover),,,,,,,,,,,,,,,,,,,,,,,,,,,
871,Moondragon,Annihilation (2006) #4,Annihilation (2006) #5,Annihilation: Conquest (2007) #1,Annihilation: Conquest (2007) #2,Annihilation: The Nova Corps (2006) #1,Avengers (1998) #1,Avengers (1998) #2,Avengers (1998) #3,Avengers (1998) #4,Avengers (1998) #27,Avengers (1998) #35,Avengers (1963) #137,Avengers (1963) #138,Avengers (1963) #142,Avengers (1963) #143,Avengers (1963) #150,Avengers (1963) #151,Avengers (1963) #211,Avengers (1963) #219,Avengers (1963) #220,,,,,,,,,,,,,,,
872,Moonstone,Amazing Spider-Man (1999) #647 (MCNIVEN VARIANT),Avengers (1998) #12,Avengers (1963) #237,Avengers (1963) #270,Avengers Assemble Vol. 2 (Hardcover),Avengers Assemble Vol. 4 (Hardcover),Captain Marvel (1989) #1,Dark Avengers (2009) #1,Dark Wolverine (2009) #75,Dark Wolverine (2009) #76,Dark Wolverine (2009) #77,Dark Wolverine (2009) #78,Dark Wolverine (2009) #79,Dark Wolverine (2009) #80,Dark Wolverine (2009) #81,Earth X (1999) #7,EARTH X TPB [NEW PRINTING] (Trade Paperback),Giant-Man (2019) #3,Maximum Security (2000) #2,Moon Knight (2006) #22,,,,,,,,,,,,,,,
873,Morbius,Absolute Carnage: Lethal Protectors (2019) #3,Adventure Into Fear (1970) #20,Adventure Into Fear (1970) #21,Adventure Into Fear (1970) #22,Adventure Into Fear (1970) #23,Adventure Into Fear (1970) #24,Adventure Into Fear (1970) #25,Adventure Into Fear (1970) #26,Adventure Into Fear (1970) #27,Adventure Into Fear (1970) #28,Adventure Into Fear (1970) #29,Adventure Into Fear (1970) #30,Adventure Into Fear (1970) #31,The Amazing Spider-Man (1963) #379,The Amazing Spider-Man (1963) #380,Amazing Spider-Man (1999) #622,Amazing Spider-Man (1999) #679.1,Amazing Spider-Man (1999) #688,Amazing Spider-Man (1999) #689,Amazing Spider-Man (1999) #690,,,,,,,,,,,,,,,
874,Mordo,Doctor Strange (1974) #16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,Morg,Cosmic Powers (1994) #5,Silver Surfer (1987) #105,Silver Surfer (1987) #106,Silver Surfer (1987) #107,Silver Surfer (1987) #108,Silver Surfer (1987) #109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,Morgan Le Fay,Avengers (1998) #3,Avengers (1963) #241,Avengers Assemble (Hardcover),Excalibur (2019) #3,Excalibur (2019) #6,Marvel Rising (2019) #2,Marvel Rising (2019) #3,Marvel Rising (2019) #4,Marvel Rising (2019) #5,The Mighty Avengers (2007) #9,The Mighty Avengers (2007) #11,Skull the Slayer (1975) #5,Weapon H (2018) #10,Wolverine Annual (2019) #1,,,,,,,,,,,,,,,,,,,,,
877,Morgan Stark,Iron Man (1998) #1,Iron Man (1998) #4,Iron Man (1998) #5,Iron Man (1968) #292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,Morlocks,Morlocks (2002) #1,Morlocks (2002) #2,Morlocks (2002) #3,Morlocks (2002) #4,Ultimate X-Men (2001) #91,Uncanny X-Men (1963) #490,X-Men Annual (1970) #18,X-Force (1991) #11,X-Men Unlimited Infinity Comic (2021) #77,X-Men: Mutant Massacre Omnibus (Hardcover),,,,,,,,,,,,,,,,,,,,,,,,,
879,Morlun,The Amazing Spider-Man (2014) #14,Friendly Neighborhood Spider-Man (2005) #1,Friendly Neighborhood Spider-Man (2005) #2,Friendly Neighborhood Spider-Man (2005) #3,Peter Parker: The Spectacular Spider-Man Vol. 5 - Spider-Geddon (Trade Paperback),Spider-Verse (2014) #2,Amazing Spider-Man (1999) #526,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,Morph,Exiles (2001) #7,Exiles (2001) #8,Exiles (2001) #9,Exiles (2001) #10,Exiles (2001) #11,Exiles (2001) #14,Exiles (2001) #15,Exiles (2001) #16,Exiles (2001) #17,Exiles (2001) #90,Exiles Vol. 3: Out of Time (Trade Paperback),Exiles Vol. II: A World Apart (Trade Paperback),Generation X Vol. 2: Survival of the Fittest (Trade Paperback),True Believers: Exiles (2018) #1,Uncanny X-Men (2013) #14,X-Men Chronicles (1995) #1,X-Men: Alpha (1995) #1,X-Men: Omega (1995) #1,X-Men: The Complete Age of Apocalypse Epic Book 1 (Trade Paperback),X-Men: The Complete Age of Apocalypse Epic Book 2 (Trade Paperback),,,,,,,,,,,,,,,
881,Mother Askani,Cable (1993) #6,Cable (1993) #7,Cable (1993) #8,Cable (1993) #23,Cable (1993) #24,Cable (1993) #25,Soldier X (2002) #7,Soldier X (2002) #8,X-Men: Books of Askani (1995) #1,,,,,,,,,,,,,,,,,,,,,,,,,,
882,Mr. Bumpo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,Mr. Fantastic,4 (2004) #11,4 (2004) #12,4 (2004) #19,4 (2004) #20,4 Vol. 2: The Stuff of Nightmares (Trade Paperback),Adam: Legend of the Blue Marvel (2008) #2,Alpha Flight (1983) #1,Amazing Spider-Man (1999) #657,Amazing Spider-Man (1999) #658,Amazing Spider-Man (1999) #658 (THOR HOLLYWOOD VARIANT),Amazing Spider-Man (1999) #659,Amazing Spider-Man (1999) #659 (2nd Printing Variant),Amazing Spider-Man (1999) #660,Amazing Spider-Man (1999) #661,Amazing Spider-Man (1999) #661 (X-Men Art Variant),Amazing Spider-Man (1999) #663,Amazing Spider-Man (1999) #665,Amazing Spider-Man (1999) #665 (AMAZING SPIDER-MAN 665 I AM CAPTAIN AMERICA VARIANT),Amazing Spider-Man (1999) #666,Amazing Spider-Man (1999) #667,,,,,,,,,,,,,,,
884,Mr. Fantastic (Ultimate),Ultimate Comics Enemy (2010) #1,Ultimate Comics Enemy (2010) #1 (FOILOGRAM VARIANT),Ultimate Comics Enemy (2010) #1 (VILLAIN VARIANT),Ultimate Comics Enemy (2010) #2,Ultimate Comics Enemy (2010) #3,Ultimate Comics Enemy (2010) #4,Ultimate Comics Ultimates (2011) #7,Ultimate Comics Ultimates (2011) #8,Ultimate Comics Doom (2010) #4,Ultimate Extinction (2006) #1,Ultimate Extinction (2006) #2,Ultimate Extinction (2006) #3,Ultimate Extinction (2006) #4,Ultimate Extinction (2006) #5,Ultimate Fantastic Four (2003) #2,Ultimate Fantastic Four (2003) #20,Ultimate Fantastic Four (2003) #21,Ultimate Fantastic Four (2003) #21 (variant cover),Ultimate Fantastic Four (2003) #30,Ultimate Fantastic Four (2003) #31,,,,,,,,,,,,,,,
885,Mr. Fish,Power Man and Iron Fist Vol. 3: Street Magic (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,Mr. Fixit,Hulk (1999) #15,Hulk (1999) #21,Hulk (1999) #22,Hulk (1999) #23,Hulk (1999) #27,Hulk (1999) #28,Hulk (1999) #29,Hulk (1999) #30,Incredible Hulk (1962) #347,Incredible Hulk (1962) #348,Incredible Hulk (1962) #349,Incredible Hulk (1962) #353,Incredible Hulk (1962) #354,Incredible Hulk (1962) #355,Incredible Hulk (1962) #356,Incredible Hulk (1962) #357,Incredible Hulk (1962) #358,Incredible Hulk (1962) #359,Incredible Hulk (1962) #361,Incredible Hulk (1962) #362,,,,,,,,,,,,,,,
887,Mr. Hyde,Captain America (1968) #152,Captain America (1968) #367,Daredevil (1964) #30,Daredevil (1964) #31,Daredevil (1964) #32,Daredevil (1964) #61,Daredevil (1964) #154,Daredevil (1964) #235,Dark Avengers (2012) #176,Dark Avengers (2012) #177,Dark Avengers (2012) #178,Dark Avengers (2012) #179,Dark Avengers (2012) #180,Dark Avengers (2012) #181,Dark Avengers (2012) #182,Dark Avengers (2012) #183,Fantastic Four Annual (1963) #3,Fantastic Four Omnibus Vol. 2 (Hardcover),Ghost Rider (2005) #4,Ghost Rider (2005) #5,,,,,,,,,,,,,,,
888,Mr. Immortal,Deadpool (1997) #10,Deadpool (1997) #11,G.L.a. (2005) #1,Great Lakes Avengers (2016) #1,Great Lakes Avengers (2016) #2,Great Lakes Avengers (2016) #3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,Mr. Meugniot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,Mr. Negative,Amazing Spider-Man (1999) #612,Amazing Spider-Man (1999) #612 (VARIANT),Amazing Spider-Man (1999) #612 (GRANOV 50/50 COVER),Amazing Spider-Man (1999) #620,Amazing Spider-Man (1999) #620 (DEADPOOL VARIANT),Amazing Spider-Man (1999) #621,Amazing Spider-Man (1999) #642,Amazing Spider-Man (1999) #663,Amazing Spider-Man (1999) #664,Amazing Spider-Man: Extra! (2008) #2,Avengers (2010) #30,Cloak and Dagger: Marvel Digital Original - Negative Exposure (2018) #1,Cloak and Dagger: Marvel Digital Original - Negative Exposure (2018) #2,Dark Reign: Mister Negative (2009) #1,Dark Reign: Mister Negative (2009) #2,Dark Reign: Mister Negative (2009) #3,Spider-Island: Cloak & Dagger (2011) #1,Spider-Island: Cloak & Dagger (2011) #2,The Amazing Spider-Man (2018) #58,The Amazing Spider-Man (2018) #59,,,,,,,,,,,,,,,
891,Mr. Payback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,Mr. X,Avengers Unlimited Infinity Comic (2022) #16,Captain America (1968) #271,Deadpool Team-Up Vol. 2: Special Relationship (Trade Paperback),Wolverine (1988) #160,Wolverine (1988) #161,Wolverine (1988) #168,Wolverine: Mr. X (2010) #1,Wolverine: The Best There Is (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,,,,
893,Ms. America (America Chavez),America (2017) #1,America (2017) #2,America (2017) #3,America (2017) #4,America (2017) #5,America (2017) #6,America (2017) #7,America (2017) #8,America (2017) #9,America (2017) #10,America (2017) #11,America (2017) #12,America Chavez: Made In The USA (Trade Paperback),America Chavez: Made in the USA (2021) #1,America Chavez: Made in the USA (2021) #2,America Chavez: Made in the USA (2021) #3,America Chavez: Made in the USA (2021) #4,America Chavez: Made in the USA (2021) #5,AMERICA VOL. 1: THE LIFE AND TIMES OF AMERICA CHAVEZ TPB (Trade Paperback),America Vol. 2: Fast and Fuertona (Trade Paperback),,,,,,,,,,,,,,,
894,Ms. Marvel (Kamala Khan),Ms. Marvel: Garden State of Mind (2018),All-New, All-Different Avengers (2015) #10,All-New, All-Different Avengers (2015) #11,All-New, All-Different Avengers (2015) #12,All-New, All-Different Avengers Annual (2016) #1,ALL-NEW, ALL-DIFFERENT AVENGERS HC (Hardcover),Avengers (2016) #674,Avengers: Back to Basics (2018) #6,Avengers: Back to Basics (Trade Paperback),Captain Marvel (2019) #33,Captain Marvel (2019) #35,Captain Marvel: Marvels Snapshots (2021) #1,Champions (2020) #1,Champions (2019) #1,Champions (2016) #1,Champions (2016) #2,Champions (2020) #2,Champions (2019) #2,Champions (2019) #3,Champions (2016) #3,,,,,,,,,,
895,MS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,Mulholland Black,The Order (2007) #1,The Order (2007) #2,The Order (2007) #3,The Order (2007) #4,The Order (2007) #5,The Order (2007) #6,The Order (2007) #7,The Order (2007) #8,The Order (2007) #9,The Order (2007) #10,The Order Vol. 1: The Next Right Thing (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,
897,Multiple Man,Chaos War: X-Men (2010) #1,Chaos War: X-Men (2010) #2,Empyre: X-Men (2020) #2,Empyre: X-Men (2020) #3,Empyre: X-Men (2020) #4,Fallen Angels (1987) #2,Fallen Angels (1987) #3,Fallen Angels (1987) #4,Fallen Angels (1987) #5,Fallen Angels (1987) #6,Fallen Angels (1987) #7,Fallen Angels (1987) #8,Multiple Man (2018) #1,Multiple Man (2018) #2,Multiple Man (2018) #3,Multiple Man (2018) #4,Multiple Man (2018) #5,Spider-Man/X-Factor: Shadowgames (1994) #1,Spider-Man/X-Factor: Shadowgames (1994) #2,Spider-Man/X-Factor: Shadowgames (1994) #3,,,,,,,,,,,,,,,
898,MVP,Avengers: The Initiative (2007) #10,Avengers: The Initiative (2007) #11,Avengers: The Initiative Annual (2007) #1,New Warriors (2007) #15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,Mysterio,Amazing Mary Jane (2019) #2,Amazing Mary Jane (2019) #3,The Amazing Spider-Man (1963) #335,The Amazing Spider-Man (1963) #337,Amazing Spider-Man (1999) #612,Amazing Spider-Man (1999) #612 (GRANOV 50/50 COVER),Amazing Spider-Man (1999) #612 (VARIANT),Amazing Spider-Man (1999) #614,Amazing Spider-Man (1999) #618,Amazing Spider-Man (1999) #618 (VILLAIN VARIANT),Amazing Spider-Man (1999) #619,Amazing Spider-Man (1999) #620,Amazing Spider-Man (1999) #620 (DEADPOOL VARIANT),Amazing Spider-Man (1999) #634 (2ND PRINTING VARIANT),Amazing Spider-Man (1999) #635,Amazing Spider-Man (1999) #644,Amazing Spider-Man (1999) #644 (BACHALO VARIANT),Amazing Spider-Man (1999) #645 (SPIDEY VS. VARIANT),Amazing Spider-Man (1999) #680,Amazing Spider-Man (1999) #681,,,,,,,,,,,,,,,
900,Mysterio (Daniel Berkhart),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,Mysterio (Francis Klum),Friendly Neighborhood Spider-Man (2005) #11,Friendly Neighborhood Spider-Man (2005) #12,Friendly Neighborhood Spider-Man Vol. 2: Mystery Date (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,Mystique,Age of X-Man: The Amazing Nightcrawler (2019) #4,Age of X: Alpha (2010) #1,Age of X: Universe (2011) #2,All-New X-Men (2012) #9,All-New X-Men (2012) #10,Astonishing X-Men (2017) #4,Astonishing X-Men (2017) #5,Astonishing X-Men (2017) #6,Astonishing X-Men (2017) #8,Astonishing X-Men (2017) #9,Astonishing X-Men (2017) #12,Astonishing X-Men (2004) #62,Astonishing X-Men (2004) #64,Astonishing X-Men (2004) #65,Astonishing X-Men by Charles Soule Vol. 1: Life of X (Trade Paperback),Cable (1993) #87,Daken: Dark Wolverine (2010) #3,Dark X-Men (2009) #3,Death of Wolverine: The Complete Collection (Trade Paperback),Decimation: X-Men the Day After (Trade Paperback),,,,,,,,,,,,,,,
903,Mystique (Age of Apocalypse),X-Calibre (1995) #3,X-Calibre (1995) #4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,Mystique (House of M),Wolverine (2003) #34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,Mystique (Ultimate),Ultimate Comics X (2010) #2,Ultimate Comics X (2010) #5,Ultimate X-Men (2001) #62,Ultimate X-Men (2001) #63,Ultimate X-Men (2001) #64,Ultimate X-Men (2001) #65,Ultimate X-Men Annual (2005) #2,Ultimates 3 (2007) #1 (Gatefold Variant),Ultimates 3 (2007) #2,Ultimates 3 (2007) #2,Ultimates 3: Who Killed the Scarlet Witch? (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,
906,Nakia (Nakia),Avengers: Wakanda Forever (2018) #1,X-Men: Wakanda Forever (2018) #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,Namor,4 (2004) #8,4 (2004) #9,4 (2004) #12,4 Vol. 2: The Stuff of Nightmares (Trade Paperback),Adam: Legend of the Blue Marvel (2008) #4,Age of X: Alpha (2010) #1,All Winners Comics 70th Anniversary Special (2009) #1,Alpha Flight (1983) #3,Alpha Flight (1983) #4,Atlantis Attacks (2020) #3,Atlantis Attacks (2020) #4,Atlantis Attacks (2020) #5,Atlantis Attacks: The Original Epic (Trade Paperback),Avengers (2010) #8,Avengers (2010) #9,Avengers (2018) #9,Avengers (2010) #10,Avengers (2010) #11,Avengers (2010) #11 (CAPTAIN AMERICA 70TH ANNIVERSARY VARIANT),Avengers (2010) #12,,,,,,,,,,,,,,,
908,Namora,Agents of Atlas (2009) #1,Agents of Atlas (2009) #2,Agents of Atlas (2009) #2 (MCGUINNESS VARIANT),Agents of Atlas (2009) #2 (BACHALO 2ND PRINTING VARIANT),Agents of Atlas (2009) #3,Agents of Atlas (2006) #4,Agents of Atlas (2006) #5,Agents of Atlas (2009) #6,Avengers 1959 (2011) #1,Avengers 1959 (2011) #2,Avengers 1959 (2011) #3,Avengers 1959 (2011) #4,Avengers 1959 (2011) #5,Captain America Comics (1941) #68,Captain America Comics (1941) #70,Fearless (2019) #4,Hercules: Fall of an Avenger (2010) #1,Human Torch Comics (1940) #29,Human Torch Comics (1940) #31,Human Torch Comics (1940) #32,,,,,,,,,,,,,,,
909,Namorita,Avengers (1998) #52,Avengers (1963) #156,Avengers Assemble Vol. 4 (Hardcover),Avengers/Invaders (2008) #3,AVENGERS: THE KANG DYNASTY TPB (Trade Paperback),Fantastic Four (1998) #27,Fantastic Four (1998) #29,Fantastic Four (1998) #42,Fantastic Four (1998) #43,Fantastic Four (1998) #44,Fantastic Four (1998) #45,Fantastic Four (1998) #46,Fantastic Four (1998) #49,Fantastic Four (1961) #356,Fantastic Four (1961) #368,Marvel Comics Presents (1988) #12,Marvel Two-in-One (1974) #2,Marvel Two-in-One (1974) #55,Marvel Two-in-One (1974) #74,Maximum Security (2000) #1,,,,,,,,,,,,,,,
910,Naoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,Natasha Romanoff,1602 (2003) #1,1602 (2003) #2,1602 (2003) #3,1602 (2003) #4,Avengers (2010) #10,Avengers (2010) #11,Avengers (2010) #11 (CAPTAIN AMERICA 70TH ANNIVERSARY VARIANT),Avengers (2010) #12,Avengers (2010) #16,Avengers (1963) #365,Avengers (1963) #366,Marvel 1602: Fantastick Four (Trade Paperback),Marvel 1602: Fantastick Four (2006) #1,Marvel 1602: Fantastick Four (2006) #2,Murderworld: Game Over (2023) #1,Wolverine Origins (2006) #9,Wolverine Origins (2006) #16,Wolverine Origins (2006) #18,Wolverine: Origins Vol. 2 - Savior (Trade Paperback),Wolverine: Origins Vol. 4 - Our War Premiere (Hardcover),,,,,,,,,,,,,,,
912,Nebula,Annihilation: Ronan (2006) #2,Asgardians of the Galaxy (2018) #2,Asgardians of the Galaxy (2018) #3,Asgardians Of The Galaxy Vol. 2: War Of The Realms (Trade Paperback),Avengers (1963) #260,Avengers (1963) #261,Avengers (1963) #317,Avengers (1963) #318,Avengers Unlimited Infinity Comic (2022) #44,Avengers Unlimited Infinity Comic (2022) #48,Fantastic Four (1961) #337,Fantastic Four (1961) #338,Fantastic Four (1961) #341,Fantastic Four (1961) #347,FANTASTIC FOUR VISIONARIES: WALTER SIMONSON VOL. 1 TPB (Trade Paperback),Guidebook to The Marvel Cinematic Universe - Marvel�s Guardians of the Galaxy (2016),Infinity Gauntlet (1991) #5,Infinity Gauntlet (1991) #6,Marvel Universe Guardians of the Galaxy (2015) #21,Marvel Universe Guardians of the Galaxy Infinite Comic (2015) #1,,,,,,,,,,,,,,,
913,Nehzno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,Nekra,Sabretooth (2022) #2,Sabretooth (2022) #3,Sabretooth (2022) #4,Sabretooth (2022) #5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,Nemesis,Alpha Flight (2004) #1,Alpha Flight (2004) #2,Alpha Flight (2004) #3,Alpha Flight (2004) #4,Alpha Flight (2004) #5,Alpha Flight (2004) #6,Alpha Flight (2004) #7,Alpha Flight (2004) #8,Alpha Flight (2004) #9,Alpha Flight (2004) #11,Cable and X-Force (2012) #1,Cable and X-Force (2012) #2,Cable and X-Force (2012) #3,Cable and X-Force (2012) #4,Cable and X-Force (2012) #5,Cable and X-Force (2012) #6,Cable and X-Force (2012) #7,Cable and X-Force (2012) #8,Cable and X-Force (2012) #9,Cable and X-Force (2012) #10,,,,,,,,,,,,,,,
916,Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,New Goblin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,New Mutants,Astonishing Tales (2009) #1,Cable (2008) #24,Cable (2017) #154,Cable Classic Vol. 1 (Trade Paperback),Color Your Own X-Men: The New Mutants (Trade Paperback),Dawn of X Vol. 11 (Trade Paperback),ESSENTIAL X-MEN VOL. 4 TPB (Trade Paperback),Exiled (2011) #1,Fallen Angels (1987) #1,Fallen Angels (1987) #2,Fallen Angels (1987) #3,Fallen Angels (1987) #5,Fallen Angels (1987) #6,Fallen Angels (1987) #7,Fallen Angels (1987) #8,Golden Age Marvel Comics Omnibus Vol. 1 (Hardcover),Journey Into Mystery (2011) #637,Journey Into Mystery (2011) #638,Loki: Journey into Mystery by Kieron Gillen (Hardcover),Love Unlimited Infinity Comic (2022) #31,,,,,,,,,,,,,,,
919,New Warriors,Amazing Spider-Man Annual (1964) #26,Avengers (1963) #341,Avengers (1963) #342,Avengers: The Initiative (2007) #26,Avengers: The Initiative (2007) #27,Civil War Files (2006) #1,Damage Control (1991) #2,Green Goblin (1995) #2,Iron Man (1968) #302,Iron Man (1968) #303,Iron Man (1968) #304,Iron Man (1968) #306,Marvel Comics Presents (1988) #159,Marvel Comics Presents (1988) #160,Marvel Comics Presents (1988) #161,Marvel Comics Presents (1988) #162,Marvel Comics Presents (1988) #163,New Warriors (1990) #1,New Warriors (2005) #1,New Warriors (2007) #1,,,,,,,,,,,,,,,
920,New X-Men,New X-Men (Hardcover),New X-Men (2004) #20,New X-Men (2001) #128,New X-Men (2001) #129,New X-Men (2001) #132,New X-Men (2001) #139,New X-Men (2001) #140,New X-Men (2001) #147,New X-Men (2001) #149,New X-Men (2001) #150,New X-Men (2001) #151,New X-Men (2001) #152,New X-Men (2001) #153,New X-Men (2001) #154,New X-Men (2001) #155,New X-Men - Academy X Vol. 3: X-Posed (Trade Paperback),New X-Men Companion (Trade Paperback),NEW X-MEN VOL. 7: HERE COMES TOMORROW (Graphic Novel),New X-Men Vol. III: New Worlds (Hardcover),New X-Men (2004) #1,,,,,,,,,,,,,,,
921,Newton Destine,CLANDESTINE CLASSIC PREMIERE HC (Hardcover),X-Men: Clan Destine (1996) #1,X-Men: Clan Destine (1996) #2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,Next Avengers,Avengers Next (2006) #2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,Nextwave,Nextwave: Agents of H.a.T.E. (2006) #1,Nextwave: Agents of H.a.T.E. (2006) #2,Nextwave: Agents of H.a.T.E. (2006) #3,Nextwave: Agents of H.a.T.E. (2006) #4,Nextwave: Agents of H.a.T.E. (2006) #5,Nextwave: Agents of H.a.T.E. (2006) #6,Nextwave: Agents of H.a.T.E. (2006) #7,Nextwave: Agents of H.a.T.E. (2006) #8,Nextwave: Agents of H.a.T.E. (2006) #9,Nextwave: Agents of H.a.T.E. (2006) #10,Nextwave: Agents of H.a.T.E. (2006) #11,Nextwave: Agents of H.a.T.E. (2006) #12,Nextwave: Agents of H.a.T.E. Vol. 2 - I Kick Your Face Premiere (Hardcover),,,,,,,,,,,,,,,,,,,,,,
924,Nick Fury,1602 (2003) #1,1602 (2003) #2,1602 (2003) #3,A Year of Marvels: August Infinite Comic (2016) #1,All-New Wolverine (2015) #17,All-New Wolverine (2015) #18,ANNIHILATION CLASSIC HC (Hardcover),Astonishing X-Men (2004) #3,Astonishing X-Men (2004) #5,Astonishing X-Men by Joss Whedon & John Cassaday (Hardcover),Astonishing X-Men Vol. 1 (Hardcover),Astonishing X-Men Vol. 1: Gifted (Trade Paperback),Avengers (1996) #1,Avengers (1996) #2,Avengers (1996) #3,Avengers (1996) #5,Avengers (1996) #6,Avengers (1996) #7,Avengers (1996) #8,Avengers (1996) #9,,,,,,,,,,,,,,,
